tx_period_max,cl_period_max,periodicity,duty_cycle,rf_label
2.0,19.0,1.5238095238095237,0.0625,BL_Beacon
4.0,12.0,2.0,0.28125,Microwave_Oven
7.0,4.0,2.909090909090909,0.5,BL_Stream
6.0,7.0,2.4615384615384617,0.46875,Microwave_Oven
21.0,1.0,1.4545454545454546,0.9375,WiFi_Stream
3.0,21.0,1.3333333333333333,0.09375,BL_Beacon
6.0,6.0,2.6666666666666665,0.5,BL_Stream
1.0,10.0,2.909090909090909,0.09375,BL_Stream
27.0,2.0,1.103448275862069,0.90625,Microwave_Oven
4.0,5.0,3.5555555555555554,0.3125,BL_Stream
15.0,12.0,1.1851851851851851,0.46875,BL_Beacon
7.0,7.0,2.2857142857142856,0.5,BL_Stream
6.0,4.0,3.2,0.46875,BL_Stream
4.0,7.0,2.909090909090909,0.40625,BL_Stream
2.0,17.0,1.6842105263157894,0.125,Microwave_Oven
19.0,1.0,1.6,0.96875,WiFi_Stream
16.0,2.0,1.7777777777777777,0.9375,WiFi_Stream
20.0,6.0,1.2307692307692308,0.71875,Microwave_Oven
1.0,31.0,1.0,0.03125,Microwave_Oven
4.0,3.0,4.571428571428571,0.59375,BL_Stream
20.0,4.0,1.3333333333333333,0.78125,Microwave_Oven
1.0,18.0,1.6842105263157894,0.0625,WiFi_Beacon
2.0,4.0,5.333333333333333,0.3125,BL_Stream
4.0,7.0,2.909090909090909,0.46875,BL_Stream
4.0,3.0,4.571428571428571,0.5,BL_Stream
18.0,11.0,1.103448275862069,0.59375,Microwave_Oven
2.0,5.0,4.571428571428571,0.46875,BL_Stream
11.0,13.0,1.3333333333333333,0.4375,Microwave_Oven
3.0,4.0,4.571428571428571,0.4375,BL_Stream
8.0,6.0,2.2857142857142856,0.5,BL_Stream
17.0,7.0,1.3333333333333333,0.59375,Microwave_Oven
22.0,1.0,1.391304347826087,0.96875,Microwave_Oven
6.0,5.0,2.909090909090909,0.53125,Microwave_Oven
22.0,3.0,1.28,0.84375,Microwave_Oven
2.0,29.0,1.032258064516129,0.0625,Microwave_Oven
14.0,17.0,1.032258064516129,0.4375,BL_Beacon
17.0,11.0,1.1428571428571428,0.59375,Microwave_Oven
1.0,16.0,1.8823529411764706,0.03125,BL_Beacon
3.0,28.0,1.032258064516129,0.09375,BL_Beacon
3.0,9.0,2.6666666666666665,0.3125,BL_Stream
7.0,16.0,1.391304347826087,0.28125,Microwave_Oven
30.0,1.0,1.032258064516129,0.96875,WiFi_Stream
5.0,27.0,1.0,0.15625,Microwave_Oven
11.0,21.0,1.0,0.34375,BL_Beacon
2.0,19.0,1.5238095238095237,0.0625,WiFi_Beacon
2.0,25.0,1.1851851851851851,0.0625,WiFi_Beacon
6.0,5.0,2.909090909090909,0.5,BL_Stream
26.0,1.0,1.1851851851851851,0.9375,Microwave_Oven
4.0,10.0,2.2857142857142856,0.375,BL_Stream
2.0,28.0,1.0666666666666667,0.09375,Microwave_Oven
9.0,4.0,2.4615384615384617,0.5,BL_Stream
1.0,18.0,1.6842105263157894,0.125,WiFi_Beacon
3.0,4.0,4.571428571428571,0.59375,BL_Stream
1.0,11.0,2.6666666666666665,0.125,WiFi_Beacon
18.0,13.0,1.032258064516129,0.5625,BL_Beacon
8.0,9.0,1.8823529411764706,0.4375,BL_Beacon
1.0,21.0,1.4545454545454546,0.09375,WiFi_Beacon
17.0,15.0,1.0,0.53125,Microwave_Oven
5.0,8.0,2.4615384615384617,0.46875,BL_Stream
5.0,5.0,3.2,0.46875,BL_Stream
5.0,8.0,2.4615384615384617,0.4375,BL_Stream
3.0,12.0,2.1333333333333333,0.1875,BL_Stream
6.0,10.0,2.0,0.46875,Microwave_Oven
13.0,17.0,1.0666666666666667,0.4375,Microwave_Oven
2.0,9.0,2.909090909090909,0.34375,BL_Stream
4.0,22.0,1.2307692307692308,0.125,BL_Beacon
1.0,21.0,1.4545454545454546,0.03125,BL_Beacon
4.0,11.0,2.1333333333333333,0.40625,BL_Stream
4.0,5.0,3.5555555555555554,0.5,BL_Stream
5.0,8.0,2.4615384615384617,0.5,BL_Stream
3.0,4.0,4.571428571428571,0.3125,BL_Stream
5.0,21.0,1.2307692307692308,0.28125,Microwave_Oven
14.0,4.0,1.7777777777777777,0.65625,Microwave_Oven
20.0,1.0,1.5238095238095237,0.9375,WiFi_Stream
3.0,10.0,2.4615384615384617,0.375,BL_Stream
2.0,18.0,1.6,0.15625,BL_Stream
3.0,22.0,1.28,0.09375,BL_Beacon
7.0,5.0,2.6666666666666665,0.53125,Microwave_Oven
5.0,2.0,4.571428571428571,0.5,BL_Stream
6.0,5.0,2.909090909090909,0.40625,BL_Stream
5.0,6.0,2.909090909090909,0.53125,Microwave_Oven
2.0,6.0,4.0,0.34375,BL_Stream
3.0,13.0,2.0,0.15625,Microwave_Oven
1.0,17.0,1.7777777777777777,0.03125,BL_Beacon
5.0,9.0,2.2857142857142856,0.375,BL_Stream
3.0,3.0,5.333333333333333,0.5625,BL_Stream
1.0,9.0,3.2,0.125,WiFi_Beacon
5.0,3.0,4.0,0.53125,BL_Stream
7.0,19.0,1.2307692307692308,0.25,Microwave_Oven
16.0,1.0,1.8823529411764706,0.96875,WiFi_Stream
12.0,9.0,1.5238095238095237,0.5,Microwave_Oven
2.0,9.0,2.909090909090909,0.25,BL_Stream
12.0,11.0,1.391304347826087,0.625,Microwave_Oven
5.0,3.0,4.0,0.5,BL_Stream
18.0,3.0,1.5238095238095237,0.71875,Microwave_Oven
3.0,6.0,3.5555555555555554,0.5,BL_Stream
25.0,1.0,1.2307692307692308,0.96875,Microwave_Oven
13.0,19.0,1.0,0.40625,Microwave_Oven
2.0,11.0,2.4615384615384617,0.1875,BL_Stream
6.0,8.0,2.2857142857142856,0.28125,BL_Stream
