tx_period_max,cl_period_max,periodicity,duty_cycle,rf_label
7.0,6.0,4.923076923076923,0.4375,BL_Stream
5.0,5.0,6.4,0.546875,BL_Stream
18.0,30.0,1.3333333333333333,0.28125,BL_Beacon
7.0,41.0,1.3333333333333333,0.203125,BL_Beacon
13.0,39.0,1.2307692307692308,0.3125,Microwave_Oven
23.0,17.0,1.6,0.421875,Microwave_Oven
5.0,6.0,5.818181818181818,0.375,BL_Stream
5.0,7.0,5.333333333333333,0.328125,BL_Stream
1.0,40.0,1.5609756097560976,0.015625,BL_Beacon
4.0,13.0,3.764705882352941,0.3125,BL_Stream
27.0,34.0,1.0491803278688525,0.453125,Microwave_Oven
56.0,3.0,1.0847457627118644,0.953125,Microwave_Oven
3.0,14.0,3.764705882352941,0.28125,BL_Stream
20.0,22.0,1.5238095238095237,0.53125,Microwave_Oven
2.0,11.0,4.923076923076923,0.125,WiFi_Beacon
4.0,13.0,3.764705882352941,0.25,BL_Stream
50.0,10.0,1.0666666666666667,0.8125,Microwave_Oven
43.0,6.0,1.3061224489795917,0.765625,Microwave_Oven
4.0,14.0,3.5555555555555554,0.328125,BL_Stream
7.0,9.0,4.0,0.3125,BL_Stream
3.0,17.0,3.2,0.234375,BL_Stream
8.0,5.0,4.923076923076923,0.4375,BL_Stream
5.0,8.0,4.923076923076923,0.4375,BL_Stream
3.0,56.0,1.0847457627118644,0.09375,Microwave_Oven
26.0,1.0,2.3703703703703702,0.953125,WiFi_Stream
3.0,6.0,7.111111111111111,0.28125,BL_Stream
1.0,10.0,5.818181818181818,0.09375,WiFi_Beacon
7.0,8.0,4.266666666666667,0.3125,BL_Stream
19.0,40.0,1.0847457627118644,0.359375,Microwave_Oven
2.0,18.0,3.2,0.203125,BL_Stream
3.0,18.0,3.0476190476190474,0.25,BL_Stream
15.0,37.0,1.2307692307692308,0.375,Microwave_Oven
2.0,59.0,1.0491803278688525,0.03125,BL_Beacon
3.0,10.0,4.923076923076923,0.28125,BL_Stream
4.0,18.0,2.909090909090909,0.1875,BL_Stream
5.0,10.0,4.266666666666667,0.421875,BL_Stream
3.0,39.0,1.5238095238095237,0.046875,BL_Beacon
3.0,10.0,4.923076923076923,0.34375,BL_Stream
5.0,9.0,4.571428571428571,0.328125,BL_Stream
2.0,7.0,7.111111111111111,0.265625,BL_Stream
4.0,11.0,4.266666666666667,0.421875,BL_Stream
59.0,4.0,1.0158730158730158,0.9375,Microwave_Oven
2.0,9.0,5.818181818181818,0.28125,BL_Stream
4.0,14.0,3.5555555555555554,0.359375,BL_Stream
4.0,21.0,2.56,0.171875,BL_Stream
7.0,5.0,5.333333333333333,0.453125,BL_Stream
2.0,31.0,1.9393939393939394,0.078125,WiFi_Beacon
23.0,24.0,1.3617021276595744,0.40625,Microwave_Oven
2.0,9.0,5.818181818181818,0.265625,BL_Stream
52.0,1.0,1.2075471698113207,0.921875,Microwave_Oven
10.0,42.0,1.2307692307692308,0.15625,BL_Beacon
1.0,30.0,2.064516129032258,0.0625,WiFi_Beacon
4.0,9.0,4.923076923076923,0.4375,BL_Stream
25.0,32.0,1.1228070175438596,0.40625,Microwave_Oven
2.0,5.0,9.142857142857142,0.265625,BL_Stream
49.0,9.0,1.103448275862069,0.828125,Microwave_Oven
2.0,9.0,5.818181818181818,0.203125,BL_Stream
2.0,47.0,1.3061224489795917,0.03125,BL_Beacon
62.0,2.0,1.0,0.96875,Microwave_Oven
17.0,8.0,2.56,0.5,Microwave_Oven
15.0,44.0,1.0847457627118644,0.234375,BL_Beacon
5.0,12.0,3.764705882352941,0.359375,BL_Stream
3.0,7.0,6.4,0.421875,BL_Stream
21.0,15.0,1.7777777777777777,0.65625,Microwave_Oven
3.0,6.0,7.111111111111111,0.328125,BL_Stream
25.0,28.0,1.2075471698113207,0.453125,Microwave_Oven
4.0,11.0,4.266666666666667,0.34375,BL_Stream
12.0,32.0,1.4545454545454546,0.234375,BL_Beacon
24.0,40.0,1.0,0.375,Microwave_Oven
25.0,39.0,1.0,0.390625,Microwave_Oven
30.0,28.0,1.103448275862069,0.53125,Microwave_Oven
