tx_period_max,cl_period_max,periodicity,duty_cycle,rf_label
2.0,29.0,2.064516129032258,0.0625,WiFi_Beacon
1.0,11.0,5.333333333333333,0.171875,BL_Stream
3.0,11.0,4.571428571428571,0.375,BL_Stream
38.0,1.0,1.641025641025641,0.984375,WiFi_Stream
26.0,1.0,2.3703703703703702,0.953125,WiFi_Stream
3.0,9.0,5.333333333333333,0.34375,BL_Stream
2.0,21.0,2.782608695652174,0.09375,WiFi_Beacon
14.0,39.0,1.2075471698113207,0.21875,BL_Beacon
3.0,9.0,5.333333333333333,0.359375,BL_Stream
6.0,28.0,1.8823529411764706,0.296875,Microwave_Oven
45.0,2.0,1.3617021276595744,0.96875,WiFi_Stream
3.0,47.0,1.28,0.046875,BL_Beacon
6.0,9.0,4.266666666666667,0.453125,BL_Stream
5.0,8.0,4.923076923076923,0.296875,BL_Stream
55.0,1.0,1.1428571428571428,0.984375,WiFi_Stream
4.0,8.0,5.333333333333333,0.34375,BL_Stream
58.0,1.0,1.0847457627118644,0.984375,WiFi_Stream
31.0,21.0,1.2307692307692308,0.53125,Microwave_Oven
43.0,1.0,1.4545454545454546,0.984375,WiFi_Stream
34.0,1.0,1.8285714285714285,0.96875,WiFi_Stream
45.0,1.0,1.391304347826087,0.984375,WiFi_Stream
23.0,29.0,1.2307692307692308,0.4375,Microwave_Oven
4.0,54.0,1.103448275862069,0.09375,BL_Beacon
18.0,31.0,1.3061224489795917,0.28125,BL_Beacon
30.0,1.0,2.064516129032258,0.96875,WiFi_Stream
56.0,1.0,1.1228070175438596,0.984375,WiFi_Stream
18.0,34.0,1.2307692307692308,0.28125,BL_Beacon
1.0,61.0,1.032258064516129,0.015625,Microwave_Oven
5.0,7.0,5.333333333333333,0.4375,BL_Stream
2.0,44.0,1.391304347826087,0.03125,BL_Beacon
3.0,8.0,5.818181818181818,0.296875,BL_Stream
3.0,5.0,8.0,0.375,BL_Stream
2.0,20.0,2.909090909090909,0.078125,WiFi_Beacon
3.0,57.0,1.0666666666666667,0.046875,BL_Beacon
43.0,1.0,1.4545454545454546,0.96875,WiFi_Stream
1.0,9.0,6.4,0.125,WiFi_Beacon
3.0,8.0,5.818181818181818,0.21875,BL_Stream
3.0,8.0,5.818181818181818,0.28125,BL_Stream
2.0,20.0,2.909090909090909,0.125,WiFi_Beacon
3.0,5.0,8.0,0.421875,BL_Stream
60.0,1.0,1.0491803278688525,0.984375,WiFi_Stream
2.0,37.0,1.641025641025641,0.03125,BL_Beacon
4.0,6.0,6.4,0.34375,BL_Stream
2.0,30.0,2.0,0.109375,WiFi_Beacon
1.0,20.0,3.0476190476190474,0.109375,WiFi_Beacon
5.0,11.0,4.0,0.265625,BL_Stream
25.0,2.0,2.3703703703703702,0.953125,WiFi_Stream
35.0,1.0,1.7777777777777777,0.96875,WiFi_Stream
40.0,1.0,1.5609756097560976,0.96875,WiFi_Stream
3.0,8.0,5.818181818181818,0.390625,BL_Stream
47.0,4.0,1.2549019607843137,0.859375,Microwave_Oven
3.0,35.0,1.6842105263157894,0.046875,BL_Beacon
3.0,11.0,4.571428571428571,0.3125,BL_Stream
5.0,9.0,4.571428571428571,0.4375,BL_Stream
2.0,13.0,4.266666666666667,0.109375,WiFi_Beacon
3.0,9.0,5.333333333333333,0.28125,BL_Stream
18.0,46.0,1.0,0.28125,BL_Beacon
1.0,21.0,2.909090909090909,0.078125,WiFi_Beacon
49.0,1.0,1.28,0.984375,WiFi_Stream
2.0,19.0,3.0476190476190474,0.109375,WiFi_Beacon
21.0,1.0,2.909090909090909,0.953125,WiFi_Stream
54.0,1.0,1.1636363636363636,0.984375,WiFi_Stream
5.0,8.0,4.923076923076923,0.34375,BL_Stream
37.0,5.0,1.5238095238095237,0.828125,Microwave_Oven
2.0,14.0,4.0,0.1875,BL_Stream
35.0,1.0,1.7777777777777777,0.984375,WiFi_Stream
4.0,7.0,5.818181818181818,0.390625,BL_Stream
2.0,11.0,4.923076923076923,0.25,BL_Stream
2.0,48.0,1.28,0.03125,BL_Beacon
1.0,40.0,1.5609756097560976,0.015625,BL_Beacon
64.0,0.0,1.0,1.0,WiFi_Stream
2.0,25.0,2.3703703703703702,0.0625,WiFi_Beacon
24.0,14.0,1.6842105263157894,0.546875,Microwave_Oven
5.0,11.0,4.0,0.21875,BL_Stream
4.0,9.0,4.923076923076923,0.34375,BL_Stream
3.0,12.0,4.266666666666667,0.25,BL_Stream
6.0,40.0,1.391304347826087,0.25,Microwave_Oven
1.0,59.0,1.0666666666666667,0.015625,BL_Beacon
1.0,20.0,3.0476190476190474,0.09375,WiFi_Beacon
8.0,6.0,4.571428571428571,0.421875,BL_Stream
8.0,37.0,1.4222222222222223,0.21875,BL_Beacon
2.0,14.0,4.0,0.234375,BL_Stream
3.0,12.0,4.266666666666667,0.21875,BL_Stream
5.0,6.0,5.818181818181818,0.453125,BL_Stream
37.0,1.0,1.6842105263157894,0.984375,WiFi_Stream
8.0,5.0,4.923076923076923,0.4375,BL_Stream
14.0,35.0,1.3061224489795917,0.34375,Microwave_Oven
3.0,12.0,4.266666666666667,0.234375,BL_Stream
2.0,18.0,3.2,0.125,WiFi_Beacon
5.0,6.0,5.818181818181818,0.40625,BL_Stream
5.0,8.0,4.923076923076923,0.359375,BL_Stream
3.0,61.0,1.0,0.046875,Microwave_Oven
55.0,1.0,1.1428571428571428,0.96875,WiFi_Stream
1.0,11.0,5.333333333333333,0.1875,BL_Stream
5.0,8.0,4.923076923076923,0.375,BL_Stream
1.0,55.0,1.1428571428571428,0.015625,BL_Beacon
37.0,27.0,1.0,0.578125,Microwave_Oven
4.0,9.0,4.923076923076923,0.296875,BL_Stream
2.0,40.0,1.5238095238095237,0.03125,BL_Beacon
5.0,7.0,5.333333333333333,0.46875,BL_Stream
21.0,43.0,1.0,0.328125,Microwave_Oven
5.0,9.0,4.571428571428571,0.359375,BL_Stream
35.0,13.0,1.3333333333333333,0.578125,Microwave_Oven
5.0,8.0,4.923076923076923,0.40625,BL_Stream
39.0,1.0,1.6,0.984375,WiFi_Stream
16.0,30.0,1.391304347826087,0.25,BL_Beacon
50.0,1.0,1.2549019607843137,0.984375,WiFi_Stream
62.0,1.0,1.0158730158730158,0.984375,WiFi_Stream
3.0,9.0,5.333333333333333,0.25,BL_Stream
25.0,28.0,1.2075471698113207,0.40625,Microwave_Oven
3.0,9.0,5.333333333333333,0.40625,BL_Stream
3.0,61.0,1.0,0.046875,BL_Beacon
2.0,7.0,7.111111111111111,0.3125,BL_Stream
11.0,31.0,1.5238095238095237,0.328125,Microwave_Oven
41.0,1.0,1.5238095238095237,0.984375,WiFi_Stream
14.0,27.0,1.5609756097560976,0.25,BL_Beacon
15.0,37.0,1.2307692307692308,0.375,Microwave_Oven
63.0,1.0,1.0,0.984375,WiFi_Stream
2.0,20.0,2.909090909090909,0.109375,WiFi_Beacon
2.0,17.0,3.3684210526315788,0.109375,WiFi_Beacon
3.0,52.0,1.1636363636363636,0.046875,BL_Beacon
1.0,52.0,1.2075471698113207,0.015625,BL_Beacon
59.0,1.0,1.0666666666666667,0.984375,WiFi_Stream
3.0,9.0,5.333333333333333,0.296875,BL_Stream
