tx_period_max,cl_period_max,periodicity,duty_cycle,rf_label
83.0,1.0,1.5238095238095237,0.984375,WiFi_Stream
6.0,9.0,8.533333333333333,0.359375,BL_Stream
2.0,14.0,8.0,0.125,WiFi_Beacon
18.0,102.0,1.0666666666666667,0.140625,BL_Beacon
77.0,39.0,1.103448275862069,0.65625,Microwave_Oven
8.0,7.0,8.533333333333333,0.4296875,BL_Stream
93.0,1.0,1.3617021276595744,0.9921875,WiFi_Stream
2.0,21.0,5.565217391304348,0.1015625,WiFi_Beacon
3.0,18.0,6.095238095238095,0.265625,BL_Stream
2.0,20.0,5.818181818181818,0.109375,WiFi_Beacon
3.0,18.0,6.095238095238095,0.2578125,BL_Stream
2.0,29.0,4.129032258064516,0.09375,WiFi_Beacon
2.0,18.0,6.4,0.1171875,WiFi_Beacon
118.0,1.0,1.0756302521008403,0.9921875,WiFi_Stream
2.0,89.0,1.4065934065934067,0.015625,BL_Beacon
14.0,91.0,1.2190476190476192,0.125,BL_Beacon
5.0,11.0,8.0,0.359375,BL_Stream
10.0,71.0,1.5802469135802468,0.109375,BL_Beacon
1.0,116.0,1.0940170940170941,0.0078125,BL_Beacon
5.0,7.0,10.666666666666666,0.4375,BL_Stream
50.0,1.0,2.5098039215686274,0.96875,WiFi_Stream
90.0,1.0,1.4065934065934067,0.9921875,WiFi_Stream
5.0,9.0,9.142857142857142,0.375,BL_Stream
5.0,8.0,9.846153846153847,0.390625,BL_Stream
128.0,0.0,1.0,1.0,WiFi_Stream
116.0,1.0,1.0940170940170941,0.9921875,WiFi_Stream
128.0,0.0,1.0,1.0,Microwave_Oven
4.0,9.0,9.846153846153847,0.390625,BL_Stream
5.0,7.0,10.666666666666666,0.3671875,BL_Stream
2.0,66.0,1.8823529411764706,0.015625,BL_Beacon
81.0,1.0,1.5609756097560976,0.9921875,WiFi_Stream
2.0,77.0,1.620253164556962,0.0234375,BL_Beacon
2.0,14.0,8.0,0.21875,BL_Stream
97.0,23.0,1.0666666666666667,0.8125,Microwave_Oven
3.0,78.0,1.5802469135802468,0.03125,BL_Beacon
94.0,1.0,1.3473684210526315,0.9921875,WiFi_Stream
5.0,7.0,10.666666666666666,0.4296875,BL_Stream
16.0,61.0,1.6623376623376624,0.125,BL_Beacon
5.0,14.0,6.7368421052631575,0.2578125,BL_Stream
100.0,1.0,1.2673267326732673,0.9921875,WiFi_Stream
37.0,91.0,1.0,0.2890625,Microwave_Oven
5.0,8.0,9.846153846153847,0.359375,BL_Stream
18.0,64.0,1.5609756097560976,0.140625,BL_Beacon
1.0,88.0,1.4382022471910112,0.0078125,BL_Beacon
58.0,1.0,2.169491525423729,0.96875,WiFi_Stream
99.0,13.0,1.1428571428571428,0.7890625,Microwave_Oven
71.0,1.0,1.7777777777777777,0.984375,WiFi_Stream
2.0,14.0,8.0,0.1171875,WiFi_Beacon
100.0,1.0,1.2673267326732673,0.984375,WiFi_Stream
3.0,7.0,12.8,0.3046875,BL_Stream
2.0,112.0,1.1228070175438596,0.015625,BL_Beacon
3.0,12.0,8.533333333333333,0.296875,BL_Stream
3.0,11.0,9.142857142857142,0.2734375,BL_Stream
3.0,11.0,9.142857142857142,0.34375,BL_Stream
3.0,94.0,1.3195876288659794,0.0234375,BL_Beacon
2.0,30.0,4.0,0.09375,WiFi_Beacon
5.0,8.0,9.846153846153847,0.34375,BL_Stream
3.0,14.0,7.529411764705882,0.2421875,BL_Stream
47.0,44.0,1.4065934065934067,0.5546875,Microwave_Oven
5.0,11.0,8.0,0.3359375,BL_Stream
10.0,118.0,1.0,0.078125,BL_Beacon
37.0,38.0,1.7066666666666668,0.6015625,Microwave_Oven
10.0,56.0,1.9393939393939394,0.109375,BL_Beacon
109.0,1.0,1.1636363636363636,0.9921875,WiFi_Stream
101.0,1.0,1.2549019607843137,0.984375,WiFi_Stream
5.0,11.0,8.0,0.3125,BL_Stream
4.0,9.0,9.846153846153847,0.296875,BL_Stream
4.0,11.0,8.533333333333333,0.2578125,BL_Stream
8.0,6.0,9.142857142857142,0.421875,BL_Stream
3.0,12.0,8.533333333333333,0.234375,BL_Stream
5.0,11.0,8.0,0.28125,BL_Stream
12.0,84.0,1.3333333333333333,0.109375,BL_Beacon
49.0,1.0,2.56,0.9765625,WiFi_Stream
65.0,63.0,1.0,0.5078125,Microwave_Oven
3.0,18.0,6.095238095238095,0.296875,BL_Stream
5.0,8.0,9.846153846153847,0.296875,BL_Stream
8.0,6.0,9.142857142857142,0.4375,BL_Stream
3.0,121.0,1.032258064516129,0.0234375,BL_Beacon
3.0,11.0,9.142857142857142,0.2421875,BL_Stream
127.0,1.0,1.0,0.9921875,WiFi_Stream
2.0,30.0,4.0,0.1171875,WiFi_Beacon
75.0,2.0,1.6623376623376624,0.9765625,WiFi_Stream
4.0,9.0,9.846153846153847,0.40625,BL_Stream
107.0,1.0,1.1851851851851851,0.984375,WiFi_Stream
78.0,1.0,1.620253164556962,0.9921875,WiFi_Stream
2.0,30.0,4.0,0.1015625,WiFi_Beacon
2.0,20.0,5.818181818181818,0.09375,WiFi_Beacon
8.0,9.0,7.529411764705882,0.4296875,BL_Stream
2.0,82.0,1.5238095238095237,0.015625,BL_Beacon
2.0,19.0,6.095238095238095,0.1015625,WiFi_Beacon
5.0,18.0,5.565217391304348,0.296875,BL_Stream
2.0,18.0,6.4,0.1015625,WiFi_Beacon
87.0,1.0,1.4545454545454546,0.984375,WiFi_Stream
58.0,1.0,2.169491525423729,0.9765625,WiFi_Stream
4.0,124.0,1.0,0.03125,BL_Beacon
2.0,30.0,4.0,0.0859375,WiFi_Beacon
105.0,1.0,1.2075471698113207,0.9921875,WiFi_Stream
2.0,74.0,1.6842105263157894,0.015625,BL_Beacon
106.0,4.0,1.1636363636363636,0.890625,Microwave_Oven
8.0,9.0,7.529411764705882,0.3984375,BL_Stream
70.0,1.0,1.8028169014084507,0.984375,WiFi_Stream
18.0,106.0,1.032258064516129,0.140625,BL_Beacon
1.0,121.0,1.0491803278688525,0.0078125,BL_Beacon
105.0,15.0,1.0666666666666667,0.859375,Microwave_Oven
21.0,107.0,1.0,0.1640625,Microwave_Oven
79.0,1.0,1.6,0.9921875,WiFi_Stream
3.0,12.0,8.533333333333333,0.265625,BL_Stream
23.0,92.0,1.1130434782608696,0.203125,Microwave_Oven
66.0,1.0,1.9104477611940298,0.9921875,WiFi_Stream
5.0,14.0,6.7368421052631575,0.265625,BL_Stream
9.0,9.0,7.111111111111111,0.3984375,BL_Stream
73.0,1.0,1.7297297297297298,0.9921875,WiFi_Stream
126.0,1.0,1.0078740157480315,0.9921875,WiFi_Stream
100.0,1.0,1.2673267326732673,0.9765625,WiFi_Stream
90.0,1.0,1.4065934065934067,0.9765625,WiFi_Stream
3.0,11.0,9.142857142857142,0.3046875,BL_Stream
16.0,94.0,1.1636363636363636,0.125,BL_Beacon
